plant_no,drawing_no,sheet_no,rev_no,area_no,job_no,spool_no,ps_code,ps_desc,ps_symbol,ps_specs,category,ps_matl,ps_profile,ps_type,fab_scope,ps_length,ps_width,ps_height,ps_thick,ps_sched,ps_dia,ps_matlqty,ps_set,ps_weight,ps_surface,traveller_no,traveller_dt,traveller_release,workable_dt,fabfitup_dt,fab_dt,qc_releasepaint,fab_released,contract_weight,fogfitup_date,fogrigup_date,pcdfitup_date,pcdrigup_date,fog_installed,pcd_installed,fog_remarks,pcd_remarks,logtime,logdate,loguser,logupdate,line_no,iso_rev,serv_line,line_specs,mat_tag1,mat_tag2,line_size,com_code,supp_desc,wt_client,wt_fab,fwbs,scope_fab,scope_supply,pwht_req,roc_type,testpack_no,pid,um,uwt,uqty,scope_of_work,paint_code,ps_class,deliv_to_fab,deliv_at_site,issued_date,paint_date,system_no,sub_system,deliv_to_paint,matl_type,assembly,reqd_qty,stat,tp_no,p_no,p_timing,tp_ptiming,tp_pno,unit_area,area_desc,lbsb,paint_reqd,piping_class,PROGRESS_RECID
1240,D-066-1006-02,02,00,,,EM,A3-180,,,A36,Structural Steel,1220 x 2440 x 12 or,,4,,       0.0000,       0.0000,       0.0000,       0.0000,       0.0000,       0.0000,       0.00,      0.00,       0.0000,       0.0000,,,,,,,,,       0.0000,,,,,,,,,,,,,3\'\'-D-66-1006-B3-PP,,,,15-1,15-1,1,,MISC. PIPE SUPPORTS BOLTED TO,      2.00,      0.10,,,0.010,0,1,,,m,         9.79,         1.00,,,Base Plate,,,,,,,,EM,      0,      0.00,Active,TBA,P2,GREEN,,,066,MDU UNIT,LB,1,A/G,2857984
1240,EX-032-P0702-01,01,1,#N/A,,EM,32P0702-ST-01,,,,SPRING SUPPORT,,,1,,       0.0000,       0.0000,       0.0000,       0.0000,       0.0000,       0.0000,       0.00,      0.00,       0.0000,       0.0000,,,,,,,,,       0.0000,,,,,,,,,,,,,#N/A,,,,1-1,1-1,4,,STRUT,      1.00,      0.00,,,,0,1,,,,         0.00,         1.00,,,,,,,,,,,EM,      0,      0.00,Active,#N/A,#N/A,#N/A,,,032,#N/A,#N/A,1,A/G,2857985
1240,EX-032-P0702-02,02,1,#N/A,,EM,32P0702-ST-02,,,,SPRING SUPPORT,,,1,,       0.0000,       0.0000,       0.0000,       0.0000,       0.0000,       0.0000,       0.00,      0.00,       0.0000,       0.0000,,,,,,,,,       0.0000,,,,,,,,,,,,,#N/A,,,,1-1,1-1,4,,STRUT,      1.00,      0.00,,,,0,1,,,,         0.00,         1.00,,,,,,,,,,,EM,      0,      0.00,Active,#N/A,#N/A,#N/A,,,032,#N/A,#N/A,1,A/G,2857986
1240,D-011-P17217-01,01,00,011A,,03,A3-169,,,A106,Structural Steel,"1.5"" Pipe XS",,1,,       0.0000,       0.0000,       0.0000,       0.0000,       0.0000,       0.0000,       0.00,      0.00,       0.0000,       0.0000,,,,,,,,,       0.0000,,,,,,,,,,,,,2\'\'-D-11-P17217-D-PP,,,,6-1,6-1,16,,BASE SUPPORTS FOR BUTTWELD PIP,      1.00,      0.16,,,0.000846,0,1,,,Lm,         5.40,         1.00,,,Pipe A,,,,,,,,SPOOL,      0,      0.00,Active,011-011-,P1,PRE TA-2,,,011,MHFO UNI,LB,1,A/G,2857987
1240,D-011-P17217-01,01,00,011A,,03,A3-169,,,Hot Dip Galvanized,Structural Steel,M16  Hilti Kwik bol,,1,,       0.0000,       0.0000,       0.0000,       0.0000,       0.0000,       0.0000,       0.00,      0.00,       0.0000,       0.0000,,,,,,,,,       0.0000,,,,,,,,,,,,,2\'\'-D-11-P17217-D-PP,,,,6-1.a,6-1.a,16,,BASE SUPPORTS FOR BUTTWELD PIP,      4.00,      4.00,,,,0,1,,,Set,         0.00,         1.00,,,Hilti Expa,,,,,,,,SPOOL,      0,      0.00,Active,011-011-,P1,PRE TA-2,,,011,MHFO UNI,LB,1,A/G,2857988
1240,D-011-P17217-01,01,00,011A,,03,A3-169,,,A106,Plate,"1.5"" Pipe XS",,1,,       0.0000,       0.0000,       0.0000,       0.0000,       0.0000,       0.0000,       0.00,      0.00,       0.0000,       0.0000,,,,,,,,,       0.0000,,,,,,,,,,,,,2\'\'-D-11-P17217-D-PP,,,,6-2,6-2,16,,BASE SUPPORTS FOR BUTTWELD PIP,      1.00,      0.31,,,0.001689,0,1,,,Lm,         5.40,         1.00,,,Pipe A,,,,,,,,SPOOL,      0,      0.00,Active,011-011-,P1,PRE TA-2,,,011,MHFO UNI,LB,1,A/G,2857989
1240,D-011-P17217-01,01,00,011A,,03,A3-169,,,A36,Machine Bolt,1220 x 2440 x 12 or,,1,,       0.0000,       0.0000,       0.0000,       0.0000,       0.0000,       0.0000,       0.00,      0.00,       0.0000,       0.0000,,,,,,,,,       0.0000,,,,,,,,,,,,,2\'\'-D-11-P17217-D-PP,,,,6-3,6-3,16,,BASE SUPPORTS FOR BUTTWELD PIP,      1.00,      0.02,,,0.002296,0,1,,,m,         2.30,         1.00,,,Plate,,,,,,,,SPOOL,      0,      0.00,Active,011-011-,P1,PRE TA-2,,,011,MHFO UNI,LB,1,A/G,2857990
1240,D-011-P17217-01,01,00,011A,,03,A3-169,,,A36,Structural Steel,1220 x 2440 x 12 or,,1,,       0.0000,       0.0000,       0.0000,       0.0000,       0.0000,       0.0000,       0.00,      0.00,       0.0000,       0.0000,,,,,,,,,       0.0000,,,,,,,,,,,,,2\'\'-D-11-P17217-D-PP,,,,6-4,6-4,16,,BASE SUPPORTS FOR BUTTWELD PIP,      1.00,      0.10,,,0.009965,0,1,,,m,         9.97,         1.00,,,Embedded P,,,,,,,,SPOOL,      0,      0.00,Active,011-011-,P1,PRE TA-2,,,011,MHFO UNI,LB,1,A/G,2857991
1240,D-011-P17217-02,02,00,011A,,EM,A4-153,,,Hot Dip Galvanized,Structural Steel,"2"" U-Bolt",,1,,       0.0000,       0.0000,       0.0000,       0.0000,       0.0000,       0.0000,       0.00,      0.00,       0.0000,       0.0000,,,,,,,,,       0.0000,,,,,,,,,,,,,2\'\'-D-11-P17217-D-PP,,,,17-1,17-1,16,,U-BOLTS FOR GUIDES AND SUPPORT,      1.00,      1.00,,,,0,1,,,Pc,         0.00,         1.00,,,U-Bolt (Ti,,,,,,,,EM,      0,      0.00,Active,011-011-,P1,PRE TA-2,,,011,MHFO UNI,LB,1,A/G,2857992
